,text,flag,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
21,manana juega mi eterno amor mi campeon12 clubamerica vamosamerica eternamentedelcrema ,1,FALSE,0,NA,28/07/2017 05:52,FALSE,NA,8.91E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",djdandy18,0,FALSE,FALSE,NA,NA
22,estos equipos nunca habian jugado juntos en la copa mx copamx vamosamerica ,1,FALSE,0,NA,28/07/2017 05:34,FALSE,NA,8.91E+17,NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>",icitusTV,1,FALSE,FALSE,NA,NA
23,noche previa al comienzo de la ligamxfemenil muchas ganas de apoyar al americafemenil y vivir esta nueva experiencia vamosamerica,1,FALSE,0,NA,28/07/2017 03:07,FALSE,NA,8.91E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FORZALAZIO15,0,FALSE,FALSE,NA,NA
24,apoyanos pumas en el estadio azteca vamosamerica ,1,FALSE,0,NA,28/07/2017 01:31,FALSE,NA,8.91E+17,NA,"<a href=""http://www.botize.com"" rel=""nofollow"">Botize</a>",VamosAmericaMex,0,FALSE,FALSE,NA,NA
25, laprevia el sabado nos vamos a la cancha del hidalgo tuzos america fb vamosamerica ,1,FALSE,29,NA,28/07/2017 01:30,FALSE,NA,8.91E+17,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",America_FB,6,FALSE,FALSE,NA,NA
26, miguelherreradt vamos a salir a ganar sabiendo que el rival es un equipo bien trabajado vamosamerica ,1,FALSE,0,NA,28/07/2017 01:03,FALSE,NA,8.91E+17,NA,"<a href=""http://www.botize.com"" rel=""nofollow"">Botize</a>",VamosAmericaMex,0,FALSE,FALSE,NA,NA
27, miguelherreradt vamos a salir a ganar sabiendo que el rival es un equipo bien trabajado vamosamerica ,1,FALSE,514,NA,28/07/2017 00:46,FALSE,NA,8.91E+17,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",ClubAmerica,72,FALSE,FALSE,NA,NA
28, laprevia que empiece ya canamy club america fb vamosamerica ,1,FALSE,15,NA,28/07/2017 00:30,FALSE,NA,8.91E+17,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",America_FB,3,FALSE,FALSE,NA,NA
29, top10de clubamerica hasta la j1ap2017 en biwengermx vamosamerica dirige tu tambien ,1,FALSE,1,NA,27/07/2017 23:30,TRUE,NA,8.91E+17,NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",BiwengerMX,1,FALSE,FALSE,NA,NA
30,este fin de semana se estrenan nuestras aguilas vamosamerica somospapaguila vamosporellas ,1,FALSE,0,NA,27/07/2017 23:22,FALSE,NA,8.91E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",SomosPapaAguila,1,FALSE,FALSE,NA,NA
31, clubamerica los colores que se defienden con la vida vamosamerica clubamerica ,1,FALSE,3,ClubAmerica,27/07/2017 22:42,FALSE,NA,8.91E+17,122211977,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AaroonsLopez,1,FALSE,FALSE,NA,NA
32, nos vemos el sabado xolos juegan contra nosotras vamosamerica ,1,FALSE,179,NA,27/07/2017 22:31,FALSE,NA,8.91E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",AmericaFemenil,43,FALSE,FALSE,NA,NA
33,inicio del torneo en fuerzas basicas de clubamerica vamosamerica ,1,FALSE,0,NA,27/07/2017 19:50,FALSE,NA,8.91E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",LuisQuacks,1,FALSE,FALSE,NA,NA
34, ligabancomermx tuzos clubamerica 29 de julio hidalgo 19 06hrs foxsportsmx vamosamerica ,1,FALSE,0,NA,27/07/2017 19:41,FALSE,NA,8.91E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",emmy_aj13,1,FALSE,FALSE,NA,NA
35,lucumi la nueva prostituta del futbol vamosmecha vamosamerica,1,FALSE,0,NA,27/07/2017 16:20,FALSE,NA,8.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Snoopy_LCS,1,FALSE,FALSE,NA,NA
36, azulcremas lo viral esta aqui enterate de mas deportes vamosamerica linajeguila clubamerica ap2017 ,1,FALSE,0,NA,27/07/2017 16:11,FALSE,NA,8.91E+17,NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>",LaRedPeriodismo,1,FALSE,FALSE,NA,NA
37,que tengas un grandioso dia serfieraesunorgullo lovientv4 guerreronocualquiera vamosamerica ,1,FALSE,0,NA,27/07/2017 16:01,FALSE,NA,8.91E+17,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",ComidasMigo,0,FALSE,FALSE,NA,NA
38,gracias mechita por la clasificacion de ayer el sabado tenemos que ganar vamosamerica,1,FALSE,2,NA,27/07/2017 15:58,FALSE,NA,8.91E+17,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",NoticiaAmerica,1,FALSE,FALSE,NA,NA
39,gracias mechita por la clasificacion de ayer el sabado tenemos que ganar vamosamerica,1,FALSE,0,NA,27/07/2017 15:58,FALSE,NA,8.91E+17,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",gerardtamayo10,0,FALSE,FALSE,NA,NA
40,para miguelherreradt gallos no merecia ganar vamosamerica ,1,FALSE,0,NA,27/07/2017 15:32,FALSE,NA,8.91E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",LuisQuacks,1,FALSE,FALSE,NA,NA
41,gran oferta que lanza la directiva de clubamerica 31 compra el boleto para j3 ante los pumasmx vamosamerica ,1,FALSE,4,NA,27/07/2017 15:08,FALSE,NA,8.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AmericaCF_GO,2,FALSE,FALSE,NA,NA
42,diiiiiiiiiiiiaaasss coffetime vamosamerica,1,FALSE,0,NA,27/07/2017 14:19,FALSE,NA,8.91E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Osoritch,1,FALSE,FALSE,NA,NA
43,acusan a jonathan dos santos de utilizar al america para fichar con galaxy clubamerica vamosamerica guanajuato ,1,FALSE,1,NA,27/07/2017 13:07,TRUE,NA,8.91E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",claroscuronoti,2,FALSE,FALSE,NA,NA
44,despues de haber cumplido su sancion tambien estara de regreso pablisaguilar pa12 vamosamerica ,1,FALSE,3,NA,27/07/2017 05:07,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",TeAmoAmerica23,1,FALSE,FALSE,NA,NA
45, clubamerica en periscope zona mixta en coapa vamosamerica ,1,FALSE,0,ClubAmerica,27/07/2017 05:05,FALSE,8.90E+17,8.90E+17,122211977,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>",azorcito,1,FALSE,FALSE,NA,NA
46,vamos todos juntos por un solo objetivo hinchada jugadores cuerpo tecnico y presidente x la copaaguila ,1,FALSE,26,NA,27/07/2017 03:14,TRUE,NA,8.90E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",DR_Colombia,4,FALSE,FALSE,NA,NA
47,que horario prefieres vamosamerica,1,FALSE,26,NA,27/07/2017 03:12,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Juntosporla13,10,FALSE,FALSE,NA,NA
48,y si america totalmente desdibujado vamosamerica porque hay mucho en juego ,1,FALSE,0,NA,27/07/2017 02:32,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Hadres26,0,FALSE,FALSE,NA,NA
49, laprevia enfocados en sacar los primeros 3 puntos tuzos america fb vamosamerica ,1,FALSE,19,NA,27/07/2017 02:30,FALSE,NA,8.90E+17,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",America_FB,3,FALSE,FALSE,NA,NA
50,estoy seguro de que tenemos jugadores para hacer un buen semestre lo que no hay es tecnico vamosamerica,1,FALSE,2,NA,27/07/2017 02:30,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",johanm76,4,FALSE,FALSE,NA,NA
51,vamos por esa copa ya clasificamos a la siguiente fase vamosamerica ,1,FALSE,1,NA,27/07/2017 02:26,FALSE,NA,8.90E+17,NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",sebastian8877,0,FALSE,FALSE,NA,NA
52,se clasifico pero aun falta mas futbol ya nos vamos a ver de por culoooo ya nod vamos a ver vamosamerica,1,FALSE,3,NA,27/07/2017 02:23,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Davijueputaaaa,0,FALSE,FALSE,NA,NA
53,siempre es lo mismo la paridera al ultimo minuto del partido vamosamerica,1,FALSE,0,NA,27/07/2017 02:21,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",alvelasqez,0,FALSE,FALSE,NA,NA
54,88 grandioso carlitosbeja1 para salvar nuestra valla tiro de esquina a favor de los locales 0 0 vamosamerica,1,FALSE,56,NA,27/07/2017 02:18,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",AmericadeCali,8,FALSE,FALSE,NA,NA
55,86 llegamos con peligro pero el pase de la muerte de olmes no llego a los pies de lizarazo 0 0 vamosamerica,1,FALSE,35,NA,27/07/2017 02:15,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",AmericadeCali,2,FALSE,FALSE,NA,NA
56,84 muy seguro carlitosbeja1 para quedarse con el balon tras el cobro de rivera 0 0 vamosamerica,1,FALSE,33,NA,27/07/2017 02:14,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",AmericadeCali,4,FALSE,FALSE,NA,NA
57,83 tercer amonestado en nuestro equipo en esta oportunidad ha sido william arboleda 0 0 vamosamerica ,1,FALSE,18,NA,27/07/2017 02:13,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",AmericadeCali,3,FALSE,FALSE,NA,NA
58,79 mnts y desde bejarano hasta blanco y bernal bien de ahi para adelante no se que se busca vamosmecha vamosamerica,1,FALSE,0,NA,27/07/2017 02:09,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",VictorMisol,0,FALSE,FALSE,NA,NA
59,79 falta en la mitad del campo sobre carlos lizarazo 0 0 vamosamerica,1,FALSE,28,NA,27/07/2017 02:09,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",AmericadeCali,4,FALSE,FALSE,NA,NA
60,adivinenme que preciosura me acabo de comprar clubamerica oribeperalta amarchesin1 vamosamerica ,1,FALSE,0,NA,27/07/2017 02:09,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tavocostich,0,FALSE,FALSE,NA,NA
61,77 queda golpeado nuestro arquero carlitosbeja1 tras colgarse del balon 0 0 vamosamerica,1,FALSE,32,NA,27/07/2017 02:06,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",AmericadeCali,3,FALSE,FALSE,NA,NA
62,75 remate de bernal que se desvia en un contrario y tenemos tiro de esquina a nuestro favor 0 0 vamosamerica,1,FALSE,17,NA,27/07/2017 02:05,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",AmericadeCali,2,FALSE,FALSE,NA,NA
63,74 el balon se paseo por el area escarlata y se fue muy cerca del palo izquierdo de bejarano 0 0 vamosamerica,1,FALSE,24,NA,27/07/2017 02:04,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",AmericadeCali,2,FALSE,FALSE,NA,NA
64,70 nueva tarjeta amarilla en nuestro equipo es para camilo ayala 0 0 vamosamerica ,1,FALSE,22,NA,27/07/2017 02:00,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",AmericadeCali,1,FALSE,FALSE,NA,NA
65, arboleda es el jugador claro en lamecha lo demuestra hoy y lo que va del semestre vamosamerica arboleista,1,FALSE,0,NA,27/07/2017 01:59,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Hadres26,0,FALSE,FALSE,NA,NA
66,69 falta en la mitad del campo sobre nuestro volante alejandro bernal 0 0 vamosamerica,1,FALSE,24,NA,27/07/2017 01:59,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",AmericadeCali,2,FALSE,FALSE,NA,NA
67,68 cabezazo de william arboleda que se marcha por encima del arco local nos acercamos con peligro 0 0 vamosamerica,1,FALSE,34,NA,27/07/2017 01:57,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",AmericadeCali,4,FALSE,FALSE,NA,NA
68,y una hinchada cabrona es lo que nos define vamosamerica ,1,FALSE,0,NA,27/07/2017 01:54,FALSE,NA,8.90E+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",eduardodjmx,0,FALSE,FALSE,NA,NA
69,si senor arboleda ingresa por un loboa desaparecido vamosamerica,1,FALSE,0,NA,27/07/2017 01:50,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Hadres26,0,FALSE,FALSE,NA,NA
70,60 primer cuarto de hora de este periodo final y el marcador se mantiene 0 0 vamosamerica ,1,FALSE,18,NA,27/07/2017 01:49,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",AmericadeCali,1,FALSE,FALSE,NA,NA
71,57 ufff nos salvamos por poco se mete el balon en nuestro arco tras el cabezazo de castaneda vamosamerica 0 0 ,1,FALSE,28,NA,27/07/2017 01:47,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",AmericadeCali,2,FALSE,FALSE,NA,NA
72,56 tiro libre a favor de rionegroaguilas se cobra desde sector izquierdo vamosamerica 0 0 ,1,FALSE,17,NA,27/07/2017 01:46,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",AmericadeCali,2,FALSE,FALSE,NA,NA
73,55 casta1326 estuvo atento y envia al tiro de esquina vamosamerica 0 0 ,1,FALSE,25,NA,27/07/2017 01:45,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",AmericadeCali,2,FALSE,FALSE,NA,NA
74,52 espectacular fantastico nuestro arquero carlitosbeja1 para salvar nuestro arco vamosamerica 0 0 ,1,FALSE,76,NA,27/07/2017 01:42,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",AmericadeCali,9,FALSE,FALSE,NA,NA
75,ojala borja nos llegue clarito para parar bien el equipo vamosamerica ,1,FALSE,0,NA,27/07/2017 01:39,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Hadres26,1,FALSE,FALSE,NA,NA
76, loboa y lizarazo como que no un mal partido estan haciendo vamosamerica,1,FALSE,0,NA,27/07/2017 01:37,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Hadres26,1,FALSE,FALSE,NA,NA
77, laprevia una edicion mas del clasicocapitalino pumasmx america fb vamosamerica ,1,FALSE,20,NA,27/07/2017 01:30,FALSE,NA,8.90E+17,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",America_FB,1,FALSE,FALSE,NA,NA
78,final de los primeros 45 el equipo comenzo bien pero se fue quedando con el correr de los minutos vamosamerica,1,FALSE,0,NA,27/07/2017 01:21,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",DavohRodriguez,0,FALSE,FALSE,NA,NA
79,mejor del pt bernal vamosamerica,1,FALSE,1,NA,27/07/2017 01:18,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",DolarRojo,0,FALSE,FALSE,NA,NA
80, winsportstv hoy gana america un saludo desde la capital copaaguilaxwin vamosamerica ,1,FALSE,0,WinSportsTV,27/07/2017 01:06,FALSE,8.90E+17,8.90E+17,716363533,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Andresc1927,0,FALSE,FALSE,NA,NA
81,hpta como saco eso vamosamerica y el coco deberia ser titular en liga,1,FALSE,0,NA,27/07/2017 00:51,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",johanm76,0,FALSE,FALSE,NA,NA
82, copaaguilaxwinvamos muchachos demostremos la grandesa de nuestro equipo vamosamerica saludos desde tulua valle ,1,FALSE,0,NA,27/07/2017 00:39,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",edinsonCalde25,1,FALSE,FALSE,NA,NA
83,no esta feo el uniforme vamosamerica,1,FALSE,0,NA,27/07/2017 00:38,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",johanm76,1,FALSE,FALSE,NA,NA
84,dios mio escuchame no quiero pasar rabietas hoy vamosamerica ,1,FALSE,0,NA,27/07/2017 00:33,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",CariitoAvila,1,FALSE,FALSE,NA,NA
85,hay que romperla con esta nomina vamosamerica ,1,FALSE,0,NA,27/07/2017 00:31,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",fidox,0,FALSE,FALSE,NA,NA
86,todo listo hoy a ganar vamosmechita hoy a ganar con toda vamosamerica ,1,FALSE,0,NA,27/07/2017 00:29,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",camo_oficial,0,FALSE,FALSE,NA,NA
87,mi bb cuando juega clubamerica eltitan vamosamerica ,1,FALSE,0,NA,27/07/2017 00:24,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",edujahlive,0,FALSE,FALSE,NA,NA
88, azulcremas lo viral esta aqui enterate de mas deporte vamosamerica americanistas clubamerica ,1,FALSE,0,NA,26/07/2017 23:50,FALSE,NA,8.90E+17,NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>",LaRedPeriodismo,0,FALSE,FALSE,NA,NA
89, miguelherreradt nos falta trabajar mas vamosamerica ,1,FALSE,0,MiguelHerreraDT,26/07/2017 23:41,FALSE,NA,8.90E+17,2235417414,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",LuisQuacks,1,FALSE,FALSE,NA,NA
90,no se porque se hacen tanto bolas jonathan dos santos queria irse a los ngeles respetable aunque equivocada decision vamosamerica,1,FALSE,0,NA,26/07/2017 23:31,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",jcburgos_,1,FALSE,FALSE,NA,NA
91,visita mi fan page de facebook veracruz verfollow felizmiercoles vamosamerica siempretiburon,1,FALSE,0,NA,26/07/2017 23:00,FALSE,NA,8.90E+17,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",OsorioAbogados,0,FALSE,FALSE,NA,NA
92,hoy no es un dia comun hoy juega lo mas hermoso el club de nuestros amores vamosamerica americapasioninfinita ,1,FALSE,2,NA,26/07/2017 21:57,TRUE,NA,8.90E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Americapasiontv,0,FALSE,FALSE,NA,NA
93,hoy no es un dia comun hoy juega lo mas hermoso el club de nuestros amores vamosamerica americapasioninfinita ,1,FALSE,2,NA,26/07/2017 21:57,TRUE,NA,8.90E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Americapasiontv,0,FALSE,FALSE,NA,NA
94,lucumi largate pero recuerda no sos idolo ni aqui ni alla vendiste tu orgullo vamosmecha vamosamerica,1,FALSE,0,NA,26/07/2017 21:57,FALSE,NA,8.90E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Snoopy_LCS,0,FALSE,FALSE,NA,NA
